category,target,support,precision,recall,f1_score,mean_reciprocal_rank,average_top1_score,hit@1,hit@2,hit@3,hit@4,hit@5
dog,0,40,0.8780487804878049,0.9,0.8888888888888888,0.9333333333333332,0.9606618911027909,0.9,0.95,0.975,0.975,0.975
rooster,1,40,0.975609756097561,1.0,0.9876543209876543,1.0,0.9890798762440681,1.0,1.0,1.0,1.0,1.0
pig,2,40,0.8571428571428571,0.9,0.8780487804878049,0.9,0.9251333899796009,0.9,0.9,0.9,0.9,0.9
cow,3,40,1.0,0.95,0.9743589743589743,0.9583333333333333,0.9416964203119278,0.95,0.95,0.975,0.975,0.975
frog,4,40,0.9230769230769231,0.9,0.9113924050632911,0.925,0.9441360592842102,0.9,0.95,0.95,0.95,0.95
cat,5,40,0.9302325581395349,1.0,0.963855421686747,1.0,0.9441797092556954,1.0,1.0,1.0,1.0,1.0
hen,6,40,0.8974358974358975,0.875,0.8860759493670886,0.9195833333333333,0.9498010814189911,0.875,0.925,0.95,0.975,1.0
insects,7,40,1.0,0.925,0.961038961038961,0.95,0.9381484746932983,0.925,0.975,0.975,0.975,0.975
sheep,8,40,0.975609756097561,1.0,0.9876543209876543,1.0,0.9700397163629532,1.0,1.0,1.0,1.0,1.0
crow,9,40,0.95,0.95,0.95,0.96875,0.949632304161787,0.95,0.975,0.975,1.0,1.0
rain,10,40,0.9090909090909091,1.0,0.9523809523809523,1.0,0.9962776899337769,1.0,1.0,1.0,1.0,1.0
sea_waves,11,40,0.975,0.975,0.975,0.9833333333333332,0.9880496978759765,0.975,0.975,1.0,1.0,1.0
crackling_fire,12,40,0.926829268292683,0.95,0.9382716049382716,0.96875,0.9313662417232991,0.95,0.975,0.975,1.0,1.0
crickets,13,40,1.0,0.975,0.9873417721518988,0.9833333333333332,0.980450876802206,0.975,0.975,1.0,1.0,1.0
chirping_birds,14,40,0.9743589743589743,0.95,0.9620253164556962,0.9625,0.9593045271933078,0.95,0.975,0.975,0.975,0.975
water_drops,15,40,0.9,0.9,0.9,0.9291666666666666,0.9243395313620567,0.9,0.925,0.975,0.975,0.975
wind,16,40,0.9047619047619048,0.95,0.926829268292683,0.95625,0.9439821846783161,0.95,0.95,0.95,0.975,0.975
pouring_water,17,40,0.9523809523809523,1.0,0.975609756097561,1.0,0.9837202191352844,1.0,1.0,1.0,1.0,1.0
toilet_flush,18,40,0.9512195121951219,0.975,0.9629629629629629,0.975,0.9611965790390968,0.975,0.975,0.975,0.975,0.975
thunderstorm,19,40,0.9512195121951219,0.975,0.9629629629629629,0.9833333333333332,0.9767919793725014,0.975,0.975,1.0,1.0,1.0
crying_baby,20,40,0.9024390243902439,0.925,0.9135802469135802,0.95,0.942939130961895,0.925,0.975,0.975,0.975,0.975
sneezing,21,40,1.0,0.9,0.9473684210526315,0.925,0.9362661834806204,0.9,0.925,0.925,0.975,0.975
clapping,22,40,1.0,0.9,0.9473684210526315,0.9166666666666666,0.9372963674366475,0.9,0.9,0.95,0.95,0.95
breathing,23,40,0.8974358974358975,0.875,0.8860759493670886,0.8916666666666666,0.9158888570964336,0.875,0.875,0.925,0.925,0.925
