clip,label,split,source_file,start_sample,augmented
train/crying/crying_00001.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,0,False
train/crying/crying_00002.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,80000,False
train/crying/crying_00003.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,96000,False
train/crying/crying_00004.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,144000,False
train/crying/crying_00005.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,160000,False
train/crying/crying_00006.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,176000,False
train/crying/crying_00007.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,192000,False
train/crying/crying_00008.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,224000,False
train/crying/crying_00009.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,240000,False
train/crying/crying_00010.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,256000,False
train/crying/crying_00011.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,272000,False
train/crying/crying_00012.wav,crying,train,crying/S-211104_H_302_C_010_0001.wav,288000,False
train/background/background_00001.wav,background,train,crying/S-211104_H_302_C_010_0001.wav,64000,False
train/crying/crying_00013.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,0,False
train/crying/crying_00014.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,16000,False
train/crying/crying_00015.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,48000,False
train/crying/crying_00016.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,64000,False
train/crying/crying_00017.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,80000,False
train/crying/crying_00018.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,96000,False
train/crying/crying_00019.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,112000,False
train/crying/crying_00020.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,160000,False
train/crying/crying_00021.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,176000,False
train/crying/crying_00022.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,256000,False
train/crying/crying_00023.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,272000,False
train/crying/crying_00024.wav,crying,train,crying/S-211026_H_302_C_004_0001.wav,384000,False
train/background/background_00002.wav,background,train,crying/S-211026_H_302_C_004_0001.wav,208000,False
train/crying/crying_00025.wav,crying,train,crying/esc50__crying_baby__ESC50_1-60997-B-20.wav,0,False
train/crying/crying_00026.wav,crying,train,crying/esc50__crying_baby__ESC50_1-60997-B-20.wav,16000,False
train/crying/crying_00027.wav,crying,train,crying/esc50__crying_baby__ESC50_1-60997-B-20.wav,32000,False
train/crying/crying_00028.wav,crying,train,crying/esc50__crying_baby__ESC50_1-60997-B-20.wav,48000,False
train/background/background_00003.wav,background,train,crying/S-211022_H_302_C_012_0001.wav,0,False
train/background/background_00004.wav,background,train,crying/S-211106_H_302_C_012_0001.wav,128000,False
train/crying/crying_00029.wav,crying,train,crying/esc50__crying_baby__ESC50_4-167077-B-20.wav,0,False
train/crying/crying_00030.wav,crying,train,crying/esc50__crying_baby__ESC50_4-167077-B-20.wav,16000,False
train/crying/crying_00031.wav,crying,train,crying/esc50__crying_baby__ESC50_4-167077-B-20.wav,32000,False
train/crying/crying_00032.wav,crying,train,crying/esc50__crying_baby__ESC50_4-167077-B-20.wav,48000,False
train/crying/crying_00033.wav,crying,train,crying/S-211022_H_302_C_003_0001.wav,0,False
train/crying/crying_00034.wav,crying,train,crying/S-211022_H_302_C_003_0001.wav,16000,False
train/crying/crying_00035.wav,crying,train,crying/S-211022_H_302_C_003_0001.wav,32000,False
train/crying/crying_00036.wav,crying,train,crying/S-211022_H_302_C_003_0001.wav,48000,False
train/crying/crying_00037.wav,crying,train,crying/S-211022_H_302_C_003_0001.wav,80000,False
train/crying/crying_00038.wav,crying,train,crying/S-211022_H_302_C_003_0001.wav,96000,False
train/crying/crying_00039.wav,crying,train,crying/S-211022_H_302_C_003_0001.wav,112000,False
train/crying/crying_00040.wav,crying,train,crying/S-211022_H_302_C_003_0001.wav,176000,False
train/crying/crying_00041.wav,crying,train,crying/S-211022_H_302_C_003_0001.wav,192000,False
train/crying/crying_00042.wav,crying,train,crying/S-211022_H_302_C_003_0001.wav,208000,False
train/background/background_00005.wav,background,train,crying/S-211022_H_302_C_003_0001.wav,64000,False
train/crying/crying_00043.wav,crying,train,crying/S-211024_H_302_C_005_0001.wav,0,False
train/crying/crying_00044.wav,crying,train,crying/S-211024_H_302_C_005_0001.wav,16000,False
train/crying/crying_00045.wav,crying,train,crying/S-211024_H_302_C_005_0001.wav,32000,False
train/crying/crying_00046.wav,crying,train,crying/S-211024_H_302_C_005_0001.wav,48000,False
train/crying/crying_00047.wav,crying,train,crying/S-211024_H_302_C_005_0001.wav,64000,False
train/crying/crying_00048.wav,crying,train,crying/S-211024_H_302_C_005_0001.wav,80000,False
train/crying/crying_00049.wav,crying,train,crying/S-211024_H_302_C_005_0001.wav,96000,False
train/crying/crying_00050.wav,crying,train,crying/S-211024_H_302_C_005_0001.wav,112000,False
train/crying/crying_00051.wav,crying,train,crying/S-211024_H_302_C_005_0001.wav,128000,False
train/crying/crying_00052.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,48000,False
train/crying/crying_00053.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,64000,False
train/crying/crying_00054.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,144000,False
train/crying/crying_00055.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,160000,False
train/crying/crying_00056.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,176000,False
train/crying/crying_00057.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,192000,False
train/crying/crying_00058.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,224000,False
train/crying/crying_00059.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,240000,False
train/crying/crying_00060.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,272000,False
train/crying/crying_00061.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,288000,False
train/crying/crying_00062.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,304000,False
train/crying/crying_00063.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,320000,False
train/crying/crying_00064.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,336000,False
train/crying/crying_00065.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,368000,False
train/crying/crying_00066.wav,crying,train,crying/S-211028_H_302_C_020_0001.wav,384000,False
train/background/background_00006.wav,background,train,crying/S-211028_H_302_C_020_0001.wav,208000,False
train/crying/crying_00067.wav,crying,train,crying/esc50__crying_baby__ESC50_5-198411-E-20.wav,0,False
train/crying/crying_00068.wav,crying,train,crying/esc50__crying_baby__ESC50_5-198411-E-20.wav,16000,False
train/crying/crying_00069.wav,crying,train,crying/esc50__crying_baby__ESC50_5-198411-E-20.wav,32000,False
train/crying/crying_00070.wav,crying,train,crying/esc50__crying_baby__ESC50_5-198411-E-20.wav,48000,False
train/crying/crying_00071.wav,crying,train,crying/S-211023_H_302_C_004_0001.wav,80000,False
