source_file,label,split
crying/S-211104_H_302_C_010_0001.wav,crying,train
crying/S-211026_H_302_C_004_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_1-60997-B-20.wav,crying,train
crying/S-211022_H_302_C_012_0001.wav,crying,train
crying/S-211106_H_302_C_012_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_4-167077-B-20.wav,crying,train
crying/S-211022_H_302_C_003_0001.wav,crying,train
crying/S-211024_H_302_C_005_0001.wav,crying,train
crying/S-211028_H_302_C_020_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_5-198411-E-20.wav,crying,train
crying/S-211023_H_302_C_004_0001.wav,crying,train
crying/S-211021_H_302_C_006_0001.wav,crying,train
crying/S-211026_H_302_C_014_0001.wav,crying,train
crying/S-211107_H_302_C_003_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_3-152007-B-20.wav,crying,train
crying/S-211101_H_302_C_006_0001.wav,crying,train
crying/S-211101_H_302_C_009_0001.wav,crying,train
crying/S-211021_H_302_C_007_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_5-198411-F-20.wav,crying,train
crying/S-211020_H_302_C_007_0001.wav,crying,train
crying/S-211020_H_302_C_006_0001.wav,crying,train
crying/S-211106_H_302_C_009_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_2-107351-B-20.wav,crying,train
crying/esc50__crying_baby__ESC50_4-167077-A-20.wav,crying,train
crying/S-211106_H_302_C_010_0001.wav,crying,train
crying/S-211019_H_302_C_001_0001.wav,crying,train
crying/S-211101_H_302_C_005_0001.wav,crying,train
crying/S-211022_H_302_C_017_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_5-198411-A-20.wav,crying,train
crying/esc50__crying_baby__ESC50_1-211527-C-20.wav,crying,train
crying/esc50__crying_baby__ESC50_4-185575-C-20.wav,crying,train
crying/S-211106_H_302_C_008_0001.wav,crying,train
crying/S-211020_H_302_C_001_0001.wav,crying,train
crying/S-211027_H_302_C_005_0001.wav,crying,train
crying/esc50__crying_baby__ESC50_2-107351-A-20.wav,crying,train
crying/S-211028_H_302_C_012_0001.wav,crying,train
crying/S-211022_H_302_C_008_0001.wav,crying,train
crying/S-211024_H_302_C_002_0001.wav,crying,train
